Date,Open,High,Low,Close,Adj Close,Volume
2024-11-05,67834.4,70537.4,67454.2,69353.1,69353.1,273070.87
2024-11-06,69353.1,76420.0,69272.7,75579.9,75579.9,677440.286
2024-11-07,75579.9,76900.0,74450.0,75859.4,75859.4,280675.033
2024-11-08,75859.4,77182.9,75576.3,76482.2,76482.2,230370.324
2024-11-09,76482.2,76920.0,75683.2,76675.1,76675.1,117754.034
2024-11-10,76675.1,81699.8,76501.1,80410.0,80410.0,417426.899
2024-11-11,80409.9,89800.0,80261.2,88728.9,88728.9,614141.662
2024-11-12,88729.0,90070.1,85159.9,87972.0,87972.0,639481.584
2024-11-13,87972.0,93421.1,86180.0,90413.3,90413.3,555288.297
2024-11-14,90413.3,91846.1,86714.0,87382.7,87382.7,364621.68
2024-11-15,87382.6,91921.5,87111.0,91074.6,91074.6,314431.908
2024-11-16,91074.6,91849.8,90120.0,90643.3,90643.3,129023.447
2024-11-17,90643.2,91539.6,88736.1,89899.9,89899.9,167504.792
2024-11-18,89900.0,92700.0,89422.1,90507.4,90507.4,333557.11
2024-11-19,90507.4,93985.9,90405.6,92335.9,92335.9,303532.031
2024-11-20,92335.9,94849.0,91500.0,94288.0,94288.0,290044.227
2024-11-21,94288.0,99100.0,94008.7,98366.8,98366.8,418383.136
2024-11-22,98366.8,99660.0,97199.9,98921.4,98921.4,265774.067
2024-11-23,98921.5,98937.3,97173.5,97725.5,97725.5,120358.422
2024-11-24,97725.6,98666.0,95822.1,97960.4,97960.4,173118.84
2024-11-25,97960.5,98999.0,92666.0,93064.0,93064.0,329375.021
2024-11-26,93064.0,95064.0,90866.4,92021.4,92021.4,344929.233
2024-11-27,92021.5,97250.0,91864.0,95905.2,95905.2,237005.987
2024-11-28,95905.2,96627.6,94700.1,95694.4,95694.4,154007.026
2024-11-29,95694.4,98713.3,95404.5,97516.3,97516.3,190520.949
2024-11-30,97516.2,97522.1,96150.0,96475.1,96475.1,93074.218
2024-12-01,96475.2,97933.0,95736.5,97265.1,97265.1,113222.99
2024-12-02,97265.0,98266.0,94400.0,95890.5,95890.5,257613.911
2024-12-03,95890.6,96375.0,93605.0,95913.3,95913.3,206601.98
2024-12-04,95913.3,97041.1,95271.6,95808.0,95808.0,92094.616
